asset_id,title,severity,category,frequency,intensity,start_time,end_time,resolved,mttr_minutes,impact,root_cause
11,Settlement Engine Batch Failure - Day 2,critical,application,2,9.9,2026-05-14 22:00:00,,false,,P0 - $4.2M in settlements delayed. Regulatory breach risk.,Schema migration deployed without backward compatibility testing
3,Fraud Model Accuracy Drop - False Negatives Up 340%,critical,application,1,9.1,2026-05-13 06:00:00,,false,,P0 - Estimated $180K fraudulent transactions approved,Feature drift in merchant category encoding after upstream data change
9,KYC Service Cascade Timeout,high,performance,4,8.2,2026-05-12 14:00:00,2026-05-12 19:30:00,true,330,P1 - New user onboarding blocked for 5.5 hours,Third-party identity provider rate limit hit after marketing campaign surge
8,Kafka Consumer Lag - 14 Million Messages,high,infrastructure,1,7.8,2026-05-10 09:00:00,2026-05-10 12:45:00,true,225,P1 - Transaction event processing 3h behind real-time,Broker disk filled due to misconfigured retention policy
5,Ledger DB Deadlock Storm,critical,database,3,9.4,2026-05-08 03:00:00,2026-05-08 04:15:00,true,75,P0 - Payment processing halted 75 minutes. 2200 failed txns,$18K refunds issued,Row-level lock contention during end-of-day reconciliation
1,Payment Gateway SSL Handshake Failures,high,security,1,7.5,2026-05-05 16:00:00,2026-05-05 16:35:00,true,35,P1 - 8% of transactions failing with TLS errors,Certificate intermediate chain misconfigured after renewal
13,HSM Cluster Node Failover - Slow Keygen,medium,infrastructure,1,5.5,2026-05-03 11:00:00,2026-05-03 12:00:00,true,60,P2 - Card issuance latency +800ms during HSM rebalancing,HSM node-2 failed health check after firmware update
4,Fraud Model v2 Memory Leak,medium,application,1,6.0,2026-04-29 08:00:00,2026-04-29 14:00:00,true,360,P2 - Fraud service OOM killed 3x. Fallback to v1 model,Memory leak in feature vector computation for high-cardinality merchant IDs
16,Risk Scoring Engine P99 Latency Spike,high,performance,2,7.2,2026-04-25 10:00:00,2026-04-25 11:30:00,true,90,P1 - Checkout conversion down 12% during spike,Database index fragmentation after bulk merchant data import
7,EU Ledger Replica Replication Lag,medium,database,1,5.8,2026-04-20 22:00:00,2026-04-21 02:00:00,true,240,P2 - EU reporting data 4h stale. GDPR audit risk,Cross-region network saturation during peak EU trading hours
10,AML Sanctions List Update Failure,critical,compliance,1,9.0,2026-04-15 05:00:00,2026-04-15 05:45:00,true,45,P0 - 45 minutes operating without latest OFAC sanctions list,Automated OFAC feed parser failed on malformed XML in update
14,API Gateway DDoS - Credential Stuffing,high,security,1,8.5,2026-04-10 03:00:00,2026-04-10 05:30:00,true,150,P1 - 2.4M automated login attempts. 180 accounts temporarily locked,Botnet rotated IPs to bypass existing rate limiting rules
2,EU Payment Gateway Cold Start Latency,medium,performance,1,4.5,2026-04-05 07:00:00,2026-04-05 07:20:00,true,20,P2 - First 20 minutes of EU trading day had +2s latency,Auto-scaling group had zero warm instances before EU market open
